Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5
0,2024.05.07 23:00:00,1.07618,1.07542,1.07609,Positive,-0.000022,0.001979,0.001335,0.001746,0,2024.05.07 23:00:00,1.07614,1.07635,1.07197,Negative,-0.000445,-0.000094,0.000210,0.000341,0,2024.05.07 23:00:00,1.07552,1.07582,1.07457,Negative,-0.000071,-0.000466,-0.000194,-0.000254
1,2024.05.07 22:00:00,1.07622,1.07542,1.07609,Positive,0.000040,0.002032,0.001344,0.001755,1,2024.05.07 22:45:00,1.07618,1.07638,1.07196,Negative,-0.000476,-0.000077,0.000221,0.000355,1,2024.05.07 22:55:00,1.07552,1.07583,1.07457,Negative,-0.000096,-0.000475,-0.000193,-0.000252
2,2024.05.07 21:00:00,1.07628,1.07542,1.07609,Positive,0.000119,0.002086,0.001353,0.001765,2,2024.05.07 22:30:00,1.07622,1.07642,1.07195,Negative,-0.000508,-0.000059,0.000231,0.000370,2,2024.05.07 22:50:00,1.07551,1.07584,1.07456,Negative,-0.000125,-0.000483,-0.000192,-0.000250
3,2024.05.07 20:00:00,1.07636,1.07543,1.07610,Positive,0.000269,0.002156,0.001366,0.001780,3,2024.05.07 22:15:00,1.07629,1.07647,1.07195,Negative,-0.000516,-0.000032,0.000245,0.000387,3,2024.05.07 22:45:00,1.07551,1.07585,1.07456,Negative,-0.000153,-0.000490,-0.000190,-0.000247
4,2024.05.07 19:00:00,1.07639,1.07539,1.07610,Positive,0.000406,0.002215,0.001374,0.001789,4,2024.05.07 22:00:00,1.07636,1.07652,1.07194,Negative,-0.000511,-0.000001,0.000259,0.000406,4,2024.05.07 22:40:00,1.07552,1.07587,1.07456,Negative,-0.000183,-0.000495,-0.000187,-0.000243
5,2024.05.07 18:00:00,1.07635,1.07533,1.07609,Positive,0.000433,0.002238,0.001371,0.001782,5,2024.05.07 21:45:00,1.07644,1.07657,1.07193,Negative,-0.000504,0.000030,0.000273,0.000425,5,2024.05.07 22:35:00,1.07553,1.07589,1.07456,Negative,-0.000205,-0.000497,-0.000183,-0.000237
6,2024.05.07 17:00:00,1.07630,1.07524,1.07609,Positive,0.000499,0.002269,0.001370,0.001779,6,2024.05.07 21:30:00,1.07654,1.07664,1.07193,Negative,-0.000462,0.000071,0.000290,0.000448,6,2024.05.07 22:30:00,1.07554,1.07592,1.07456,Negative,-0.000227,-0.000497,-0.000178,-0.000231
7,2024.05.07 16:00:00,1.07620,1.07514,1.07609,Positive,0.000462,0.002270,0.001359,0.001762,7,2024.05.07 21:15:00,1.07665,1.07671,1.07192,Negative,-0.000400,0.000115,0.000308,0.000471,7,2024.05.07 22:25:00,1.07556,1.07594,1.07456,Negative,-0.000256,-0.000498,-0.000174,-0.000225
8,2024.05.07 15:00:00,1.07607,1.07502,1.07609,Positive,0.000380,0.002260,0.001345,0.001741,8,2024.05.07 21:00:00,1.07676,1.07677,1.07192,Negative,-0.000313,0.000163,0.000326,0.000496,8,2024.05.07 22:20:00,1.07558,1.07597,1.07456,Negative,-0.000280,-0.000495,-0.000169,-0.000218
9,2024.05.07 14:00:00,1.07599,1.07493,1.07608,Positive,0.000322,0.002261,0.001334,0.001724,9,2024.05.07 20:45:00,1.07686,1.07683,1.07191,Negative,-0.000237,0.000203,0.000342,0.000516,9,2024.05.07 22:15:00,1.07560,1.07600,1.07455,Negative,-0.000302,-0.000491,-0.000163,-0.000210
10,2024.05.07 13:00:00,1.07594,1.07487,1.07608,Positive,0.000334,0.002284,0.001329,0.001716,10,2024.05.07 20:30:00,1.07694,1.07687,1.07190,Negative,-0.000153,0.000242,0.000357,0.000536,10,2024.05.07 22:10:00,1.07563,1.07603,1.07455,Negative,-0.000327,-0.000486,-0.000156,-0.000201
11,2024.05.07 12:00:00,1.07590,1.07480,1.07608,Positive,0.000319,0.002299,0.001322,0.001703,11,2024.05.07 20:15:00,1.07700,1.07690,1.07190,Positive,-0.000098,0.000269,0.000368,0.000551,11,2024.05.07 22:05:00,1.07565,1.07606,1.07455,Negative,-0.000363,-0.000483,-0.000150,-0.000193
12,2024.05.07 11:00:00,1.07590,1.07476,1.07608,Positive,0.000392,0.002338,0.001321,0.001700,12,2024.05.07 20:00:00,1.07707,1.07694,1.07189,Positive,-0.000016,0.000301,0.000380,0.000567,12,2024.05.07 22:00:00,1.07567,1.07609,1.07455,Negative,-0.000414,-0.000481,-0.000145,-0.000186
13,2024.05.07 10:00:00,1.07588,1.07471,1.07608,Positive,0.000435,0.002365,0.001316,0.001692,13,2024.05.07 19:45:00,1.07713,1.07696,1.07188,Positive,0.000080,0.000332,0.000391,0.000582,13,2024.05.07 21:55:00,1.07570,1.07613,1.07455,Negative,-0.000452,-0.000474,-0.000138,-0.000176
14,2024.05.07 09:00:00,1.07584,1.07464,1.07608,Positive,0.000475,0.002390,0.001310,0.001681,14,2024.05.07 19:30:00,1.07714,1.07697,1.07187,Positive,0.000113,0.000342,0.000396,0.000588,14,2024.05.07 21:50:00,1.07575,1.07617,1.07455,Negative,-0.000481,-0.000461,-0.000129,-0.000164
15,2024.05.07 08:00:00,1.07582,1.07458,1.07608,Positive,0.000532,0.002416,0.001305,0.001671,15,2024.05.07 19:15:00,1.07715,1.07696,1.07186,Positive,0.000150,0.000351,0.000400,0.000594,15,2024.05.07 21:45:00,1.07581,1.07623,1.07455,Negative,-0.000500,-0.000444,-0.000118,-0.000151
16,2024.05.07 07:00:00,1.07581,1.07451,1.07608,Positive,0.000650,0.002456,0.001302,0.001666,16,2024.05.07 19:00:00,1.07714,1.07695,1.07185,Positive,0.000162,0.000351,0.000402,0.000596,16,2024.05.07 21:40:00,1.07587,1.07628,1.07455,Negative,-0.000505,-0.000422,-0.000107,-0.000136
17,2024.05.07 06:00:00,1.07576,1.07443,1.07608,Positive,0.000715,0.002475,0.001293,0.001651,17,2024.05.07 18:45:00,1.07714,1.07695,1.07184,Positive,0.000182,0.000352,0.000404,0.000599,17,2024.05.07 21:35:00,1.07593,1.07634,1.07455,Negative,-0.000525,-0.000403,-0.000096,-0.000122
18,2024.05.07 05:00:00,1.07569,1.07434,1.07608,Positive,0.000758,0.002485,0.001280,0.001632,18,2024.05.07 18:30:00,1.07717,1.07695,1.07183,Positive,0.000272,0.000372,0.000411,0.000610,18,2024.05.07 21:30:00,1.07602,1.07640,1.07455,Negative,-0.000511,-0.000374,-0.000082,-0.000104
19,2024.05.07 04:00:00,1.07565,1.07426,1.07608,Positive,0.000854,0.002507,0.001271,0.001617,19,2024.05.07 18:15:00,1.07717,1.07693,1.07182,Positive,0.000334,0.000379,0.000415,0.000615,19,2024.05.07 21:25:00,1.07609,1.07646,1.07454,Negative,-0.000498,-0.000346,-0.000069,-0.000086
20,2024.05.07 03:00:00,1.07557,1.07415,1.07608,Positive,0.000945,0.002522,0.001259,0.001599,20,2024.05.07 18:00:00,1.07713,1.07690,1.07181,Positive,0.000363,0.000374,0.000415,0.000615,20,2024.05.07 21:20:00,1.07617,1.07652,1.07454,Negative,-0.000491,-0.000319,-0.000057,-0.000070
21,2024.05.07 02:00:00,1.07545,1.07402,1.07608,Positive,0.000949,0.002509,0.001238,0.001569,21,2024.05.07 17:45:00,1.07708,1.07686,1.07180,Positive,0.000367,0.000361,0.000412,0.000612,21,2024.05.07 21:15:00,1.07625,1.07658,1.07454,Negative,-0.000476,-0.000290,-0.000044,-0.000053
22,2024.05.07 01:00:00,1.07536,1.07391,1.07608,Positive,0.001019,0.002513,0.001222,0.001546,22,2024.05.07 17:30:00,1.07705,1.07683,1.07179,Positive,0.000376,0.000348,0.000410,0.000609,22,2024.05.07 21:10:00,1.07634,1.07664,1.07454,Negative,-0.000434,-0.000255,-0.000029,-0.000034
23,2024.05.07 00:00:00,1.07526,1.07379,1.07607,Positive,0.001082,0.002511,0.001203,0.001519,23,2024.05.07 17:15:00,1.07702,1.07681,1.07178,Positive,0.000417,0.000344,0.000410,0.000610,23,2024.05.07 21:05:00,1.07640,1.07669,1.07454,Negative,-0.000429,-0.000231,-0.000018,-0.000020
24,2024.05.06 23:00:00,1.07515,1.07367,1.07607,Positive,0.001145,0.002505,0.001184,0.001491,24,2024.05.07 17:00:00,1.07698,1.07677,1.07177,Positive,0.000437,0.000332,0.000408,0.000608,24,2024.05.07 21:00:00,1.07648,1.07674,1.07454,Negative,-0.000404,-0.000202,-0.000006,-0.000004
25,2024.05.06 22:00:00,1.07503,1.07354,1.07607,Positive,0.001194,0.002492,0.001161,0.001460,25,2024.05.07 16:45:00,1.07692,1.07673,1.07176,Positive,0.000456,0.000319,0.000406,0.000605,25,2024.05.07 20:55:00,1.07655,1.07679,1.07454,Negative,-0.000387,-0.000176,0.000005,0.000011
26,2024.05.06 21:00:00,1.07490,1.07339,1.07607,Positive,0.001267,0.002482,0.001140,0.001429,26,2024.05.07 16:30:00,1.07683,1.07666,1.07175,Positive,0.000436,0.000294,0.000401,0.000598,26,2024.05.07 20:50:00,1.07661,1.07684,1.07453,Negative,-0.000367,-0.000150,0.000016,0.000025
27,2024.05.06 20:00:00,1.07472,1.07323,1.07607,Positive,0.001270,0.002449,0.001111,0.001389,27,2024.05.07 16:15:00,1.07672,1.07660,1.07174,Positive,0.000357,0.000254,0.000391,0.000586,27,2024.05.07 20:45:00,1.07666,1.07688,1.07453,Negative,-0.000364,-0.000129,0.000025,0.000037
28,2024.05.04 00:00:00,1.07453,1.07306,1.07606,Positive,0.001260,0.002412,0.001081,0.001348,28,2024.05.07 16:00:00,1.07664,1.07655,1.07172,Positive,0.000302,0.000225,0.000384,0.000578,28,2024.05.07 20:40:00,1.07672,1.07692,1.07453,Negative,-0.000349,-0.000104,0.000035,0.000050
29,2024.05.03 23:00:00,1.07440,1.07291,1.07606,Positive,0.001332,0.002397,0.001058,0.001315,29,2024.05.07 15:45:00,1.07657,1.07650,1.07171,Positive,0.000264,0.000203,0.000381,0.000574,29,2024.05.07 20:35:00,1.07677,1.07696,1.07453,Negative,-0.000358,-0.000087,0.000043,0.000060
30,2024.05.03 22:00:00,1.07425,1.07276,1.07606,Positive,0.001395,0.002376,0.001033,0.001280,30,2024.05.07 15:30:00,1.07650,1.07646,1.07170,Positive,0.000223,0.000182,0.000378,0.000570,30,2024.05.07 20:30:00,1.07680,1.07698,1.07452,Negative,-0.000372,-0.000070,0.000050,0.000069
31,2024.05.03 21:00:00,1.07408,1.07260,1.07606,Positive,0.001424,0.002341,0.001003,0.001239,31,2024.05.07 15:15:00,1.07642,1.07641,1.07169,Positive,0.000138,0.000151,0.000372,0.000563,31,2024.05.07 20:25:00,1.07685,1.07702,1.07452,Negative,-0.000378,-0.000050,0.000058,0.000080
32,2024.05.03 20:00:00,1.07391,1.07244,1.07606,Positive,0.001465,0.002307,0.000974,0.001198,32,2024.05.07 15:00:00,1.07637,1.07639,1.07168,Positive,0.000086,0.000134,0.000371,0.000562,32,2024.05.07 20:20:00,1.07691,1.07706,1.07452,Negative,-0.000368,-0.000026,0.000068,0.000092
33,2024.05.03 19:00:00,1.07372,1.07226,1.07606,Positive,0.001509,0.002272,0.000944,0.001157,33,2024.05.07 14:45:00,1.07635,1.07638,1.07167,Positive,0.000072,0.000129,0.000374,0.000566,33,2024.05.07 20:15:00,1.07699,1.07712,1.07452,Negative,-0.000339,0.000003,0.000079,0.000106
34,2024.05.03 18:00:00,1.07349,1.07206,1.07606,Positive,0.001487,0.002216,0.000908,0.001108,34,2024.05.07 14:30:00,1.07634,1.07638,1.07167,Positive,0.000060,0.000126,0.000377,0.000571,34,2024.05.07 20:10:00,1.07708,1.07717,1.07451,Negative,-0.000275,0.000041,0.000092,0.000123
35,2024.05.03 17:00:00,1.07323,1.07183,1.07606,Positive,0.001472,0.002162,0.000873,0.001060,35,2024.05.07 14:15:00,1.07633,1.07636,1.07166,Negative,0.000055,0.000126,0.000382,0.000578,35,2024.05.07 20:05:00,1.07715,1.07722,1.07451,Negative,-0.000231,0.000070,0.000102,0.000136
36,2024.05.03 16:00:00,1.07290,1.07156,1.07605,Positive,0.001327,0.002074,0.000827,0.000998,36,2024.05.07 14:00:00,1.07630,1.07635,1.07165,Negative,0.000025,0.000119,0.000384,0.000581,36,2024.05.07 20:00:00,1.07721,1.07725,1.07451,Negative,-0.000173,0.000101,0.000112,0.000149
37,2024.05.03 15:00:00,1.07249,1.07130,1.07605,Positive,0.000941,0.001927,0.000764,0.000913,37,2024.05.07 13:45:00,1.07626,1.07633,1.07164,Negative,-0.000022,0.000109,0.000386,0.000584,37,2024.05.07 19:55:00,1.07725,1.07727,1.07450,Negative,-0.000143,0.000122,0.000119,0.000158
38,2024.05.03 14:00:00,1.07234,1.07117,1.07605,Positive,0.000924,0.001899,0.000739,0.000878,38,2024.05.07 13:30:00,1.07623,1.07632,1.07163,Negative,-0.000085,0.000097,0.000388,0.000587,38,2024.05.07 19:50:00,1.07727,1.07729,1.07450,Negative,-0.000142,0.000133,0.000122,0.000162
39,2024.05.03 13:00:00,1.07220,1.07104,1.07605,Positive,0.000916,0.001873,0.000714,0.000844,39,2024.05.07 13:15:00,1.07622,1.07633,1.07162,Negative,-0.000116,0.000098,0.000393,0.000594,39,2024.05.07 19:45:00,1.07729,1.07730,1.07449,Negative,-0.000149,0.000143,0.000125,0.000166
40,2024.05.03 12:00:00,1.07205,1.07090,1.07606,Positive,0.000892,0.001844,0.000689,0.000808,40,2024.05.07 13:00:00,1.07622,1.07633,1.07161,Negative,-0.000146,0.000100,0.000399,0.000603,40,2024.05.07 19:40:00,1.07732,1.07732,1.07449,Negative,-0.000130,0.000160,0.000131,0.000173
41,2024.05.03 11:00:00,1.07191,1.07078,1.07606,Positive,0.000854,0.001811,0.000662,0.000771,41,2024.05.07 12:45:00,1.07623,1.07634,1.07160,Negative,-0.000176,0.000104,0.000406,0.000612,41,2024.05.07 19:35:00,1.07735,1.07733,1.07449,Negative,-0.000124,0.000172,0.000134,0.000177
42,2024.05.03 10:00:00,1.07181,1.07068,1.07607,Positive,0.000874,0.001795,0.000641,0.000741,42,2024.05.07 12:30:00,1.07626,1.07636,1.07160,Negative,-0.000179,0.000118,0.000416,0.000625,42,2024.05.07 19:30:00,1.07737,1.07735,1.07448,Negative,-0.000111,0.000186,0.000139,0.000182
43,2024.05.03 09:00:00,1.07171,1.07057,1.07607,Positive,0.000934,0.001789,0.000622,0.000715,43,2024.05.07 12:15:00,1.07630,1.07639,1.07159,Negative,-0.000148,0.000141,0.000428,0.000641,43,2024.05.07 19:25:00,1.07738,1.07735,1.07448,Negative,-0.000106,0.000198,0.000142,0.000186
44,2024.05.03 08:00:00,1.07159,1.07045,1.07608,Positive,0.000938,0.001764,0.000597,0.000681,44,2024.05.07 12:00:00,1.07633,1.07641,1.07158,Negative,-0.000118,0.000162,0.000440,0.000657,44,2024.05.07 19:20:00,1.07739,1.07736,1.07447,Negative,-0.000122,0.000204,0.000143,0.000188
45,2024.05.03 07:00:00,1.07146,1.07033,1.07608,Positive,0.000966,0.001744,0.000575,0.000649,45,2024.05.07 11:45:00,1.07634,1.07642,1.07157,Negative,-0.000122,0.000173,0.000449,0.000669,45,2024.05.07 19:15:00,1.07740,1.07736,1.07447,Negative,-0.000129,0.000213,0.000145,0.000190
46,2024.05.03 06:00:00,1.07132,1.07020,1.07609,Positive,0.000960,0.001714,0.000548,0.000612,46,2024.05.07 11:30:00,1.07635,1.07643,1.07156,Negative,-0.000145,0.000179,0.000456,0.000678,46,2024.05.07 19:10:00,1.07741,1.07736,1.07446,Negative,-0.000144,0.000220,0.000146,0.000192
47,2024.05.03 05:00:00,1.07117,1.07006,1.07609,Positive,0.000955,0.001684,0.000522,0.000576,47,2024.05.07 11:15:00,1.07636,1.07644,1.07156,Negative,-0.000163,0.000188,0.000464,0.000689,47,2024.05.07 19:05:00,1.07743,1.07737,1.07446,Negative,-0.000156,0.000229,0.000148,0.000194
48,2024.05.03 04:00:00,1.07100,1.06992,1.07610,Positive,0.000893,0.001638,0.000491,0.000533,48,2024.05.07 11:00:00,1.07639,1.07646,1.07155,Negative,-0.000149,0.000206,0.000475,0.000703,48,2024.05.07 19:00:00,1.07745,1.07738,1.07445,Negative,-0.000147,0.000244,0.000152,0.000199
49,2024.05.03 03:00:00,1.07086,1.06980,1.07610,Positive,0.000862,0.001603,0.000463,0.000495,49,2024.05.07 10:45:00,1.07644,1.07648,1.07154,Negative,-0.000097,0.000234,0.000488,0.000722,49,2024.05.07 18:55:00,1.07749,1.07741,1.07445,Positive,-0.000137,0.000259,0.000156,0.000203
50,2024.05.03 02:00:00,1.07071,1.06967,1.07611,Positive,0.000825,0.001568,0.000435,0.000457,50,2024.05.07 10:30:00,1.07644,1.07648,1.07153,Negative,-0.000114,0.000242,0.000496,0.000732,50,2024.05.07 18:50:00,1.07754,1.07743,1.07444,Positive,-0.000074,0.000288,0.000163,0.000213
51,2024.05.03 01:00:00,1.07057,1.06955,1.07611,Positive,0.000781,0.001532,0.000408,0.000419,51,2024.05.07 10:15:00,1.07643,1.07648,1.07152,Negative,-0.000149,0.000246,0.000502,0.000740,51,2024.05.07 18:45:00,1.07755,1.07743,1.07444,Positive,-0.000063,0.000300,0.000166,0.000215
52,2024.05.03 00:00:00,1.07045,1.06944,1.07612,Positive,0.000779,0.001510,0.000384,0.000386,52,2024.05.07 10:00:00,1.07644,1.07649,1.07151,Negative,-0.000165,0.000256,0.000510,0.000751,52,2024.05.07 18:40:00,1.07757,1.07744,1.07443,Positive,-0.000050,0.000312,0.000168,0.000218
53,2024.05.02 23:00:00,1.07030,1.06930,1.07613,Positive,0.000739,0.001476,0.000357,0.000349,53,2024.05.07 09:45:00,1.07645,1.07649,1.07150,Negative,-0.000175,0.000270,0.000519,0.000763,53,2024.05.07 18:35:00,1.07761,1.07745,1.07443,Positive,-0.000010,0.000331,0.000171,0.000222
54,2024.05.02 22:00:00,1.07013,1.06916,1.07613,Positive,0.000651,0.001431,0.000326,0.000307,54,2024.05.07 09:30:00,1.07647,1.07651,1.07150,Negative,-0.000192,0.000282,0.000528,0.000775,54,2024.05.07 18:30:00,1.07762,1.07745,1.07442,Positive,0.000015,0.000343,0.000173,0.000224
55,2024.05.02 21:00:00,1.06995,1.06903,1.07614,Positive,0.000497,0.001373,0.000292,0.000260,55,2024.05.07 09:15:00,1.07651,1.07654,1.07149,Negative,-0.000184,0.000302,0.000539,0.000789,55,2024.05.07 18:25:00,1.07764,1.07745,1.07442,Positive,0.000042,0.000355,0.000174,0.000226
56,2024.05.02 20:00:00,1.06981,1.06891,1.07615,Positive,0.000405,0.001338,0.000265,0.000223,56,2024.05.07 09:00:00,1.07656,1.07657,1.07148,Negative,-0.000155,0.000328,0.000552,0.000806,56,2024.05.07 18:20:00,1.07764,1.07744,1.07441,Positive,0.000063,0.000364,0.000175,0.000226
57,2024.05.02 19:00:00,1.06969,1.06882,1.07616,Positive,0.000308,0.001306,0.000239,0.000187,57,2024.05.07 08:45:00,1.07662,1.07661,1.07147,Negative,-0.000104,0.000359,0.000566,0.000824,57,2024.05.07 18:15:00,1.07763,1.07743,1.07440,Positive,0.000060,0.000365,0.000172,0.000223
58,2024.05.02 18:00:00,1.06966,1.06878,1.07617,Positive,0.000299,0.001303,0.000222,0.000163,58,2024.05.07 08:30:00,1.07667,1.07663,1.07146,Positive,-0.000039,0.000390,0.000580,0.000843,58,2024.05.07 18:10:00,1.07762,1.07741,1.07440,Positive,0.000061,0.000367,0.000171,0.000220
59,2024.05.02 17:00:00,1.06975,1.06880,1.07618,Positive,0.000453,0.001343,0.000218,0.000156,59,2024.05.07 08:15:00,1.07668,1.07664,1.07145,Positive,-0.000020,0.000407,0.000589,0.000855,59,2024.05.07 18:05:00,1.07760,1.07739,1.07439,Positive,0.000056,0.000368,0.000168,0.000216
60,2024.05.02 16:00:00,1.06980,1.06879,1.07620,Positive,0.000659,0.001389,0.000215,0.000150,60,2024.05.07 08:00:00,1.07667,1.07663,1.07145,Positive,-0.000042,0.000411,0.000594,0.000862,60,2024.05.07 18:00:00,1.07757,1.07737,1.07438,Positive,0.000031,0.000364,0.000164,0.000211
61,2024.05.02 15:00:00,1.06978,1.06873,1.07621,Positive,0.000766,0.001397,0.000200,0.000128,61,2024.05.07 07:45:00,1.07667,1.07663,1.07144,Positive,-0.000059,0.000419,0.000601,0.000871,61,2024.05.07 17:55:00,1.07756,1.07735,1.07438,Positive,0.000027,0.000366,0.000162,0.000208
62,2024.05.02 14:00:00,1.06975,1.06867,1.07622,Positive,0.000880,0.001401,0.000183,0.000104,62,2024.05.07 07:30:00,1.07668,1.07664,1.07143,Positive,-0.000055,0.000433,0.000609,0.000882,62,2024.05.07 17:50:00,1.07756,1.07734,1.07437,Positive,0.000019,0.000367,0.000159,0.000204
63,2024.05.02 13:00:00,1.06971,1.06861,1.07623,Positive,0.000995,0.001400,0.000164,0.000077,63,2024.05.07 07:15:00,1.07670,1.07664,1.07142,Positive,-0.000036,0.000451,0.000619,0.000894,63,2024.05.07 17:45:00,1.07756,1.07734,1.07437,Positive,0.000030,0.000374,0.000159,0.000203
64,2024.05.02 12:00:00,1.06967,1.06854,1.07624,Positive,0.001135,0.001398,0.000144,0.000050,64,2024.05.07 07:00:00,1.07670,1.07664,1.07141,Positive,-0.000048,0.000460,0.000625,0.000903,64,2024.05.07 17:40:00,1.07757,1.07733,1.07436,Positive,0.000038,0.000379,0.000157,0.000201
65,2024.05.02 11:00:00,1.06960,1.06844,1.07625,Positive,0.001286,0.001391,0.000123,0.000021,65,2024.05.07 06:45:00,1.07669,1.07664,1.07140,Positive,-0.000068,0.000468,0.000632,0.000911,65,2024.05.07 17:35:00,1.07758,1.07733,1.07436,Positive,0.000069,0.000390,0.000157,0.000201
66,2024.05.02 10:00:00,1.06945,1.06829,1.07626,Positive,0.001347,0.001352,0.000091,-0.000023,66,2024.05.07 06:30:00,1.07668,1.07663,1.07139,Positive,-0.000093,0.000475,0.000638,0.000919,66,2024.05.07 17:30:00,1.07760,1.07733,1.07435,Positive,0.000109,0.000402,0.000158,0.000201
67,2024.05.02 09:00:00,1.06927,1.06813,1.07627,Positive,0.001383,0.001302,0.000057,-0.000070,67,2024.05.07 06:15:00,1.07669,1.07663,1.07138,Positive,-0.000106,0.000487,0.000645,0.000929,67,2024.05.07 17:25:00,1.07760,1.07732,1.07434,Positive,0.000144,0.000411,0.000157,0.000199
68,2024.05.02 08:00:00,1.06910,1.06799,1.07627,Positive,0.001425,0.001251,0.000022,-0.000117,68,2024.05.07 06:00:00,1.07669,1.07663,1.07137,Positive,-0.000119,0.000501,0.000653,0.000940,68,2024.05.07 17:20:00,1.07760,1.07731,1.07434,Positive,0.000171,0.000415,0.000155,0.000196
69,2024.05.02 07:00:00,1.06891,1.06783,1.07628,Positive,0.001440,0.001190,-0.000016,-0.000169,69,2024.05.07 05:45:00,1.07672,1.07664,1.07136,Positive,-0.000115,0.000519,0.000663,0.000952,69,2024.05.07 17:15:00,1.07761,1.07730,1.07433,Positive,0.000220,0.000424,0.000154,0.000194
70,2024.05.02 06:00:00,1.06873,1.06768,1.07629,Positive,0.001470,0.001131,-0.000053,-0.000218,70,2024.05.07 05:30:00,1.07674,1.07666,1.07135,Positive,-0.000096,0.000542,0.000673,0.000966,70,2024.05.07 17:10:00,1.07760,1.07728,1.07433,Positive,0.000256,0.000426,0.000150,0.000190
71,2024.05.02 05:00:00,1.06851,1.06751,1.07630,Positive,0.001445,0.001055,-0.000095,-0.000275,71,2024.05.07 05:15:00,1.07677,1.07666,1.07134,Positive,-0.000076,0.000564,0.000683,0.000979,71,2024.05.07 17:05:00,1.07759,1.07726,1.07432,Positive,0.000305,0.000430,0.000148,0.000186
72,2024.05.02 04:00:00,1.06830,1.06735,1.07631,Positive,0.001426,0.000982,-0.000136,-0.000330,72,2024.05.07 05:00:00,1.07680,1.07668,1.07133,Positive,-0.000044,0.000589,0.000694,0.000994,72,2024.05.07 17:00:00,1.07756,1.07723,1.07431,Positive,0.000327,0.000424,0.000142,0.000178
73,2024.05.02 03:00:00,1.06809,1.06719,1.07632,Positive,0.001418,0.000911,-0.000176,-0.000383,73,2024.05.07 04:45:00,1.07683,1.07669,1.07132,Positive,-0.000016,0.000612,0.000704,0.001007,73,2024.05.07 16:55:00,1.07754,1.07719,1.07431,Positive,0.000360,0.000420,0.000136,0.000171
74,2024.05.02 02:00:00,1.06784,1.06701,1.07633,Positive,0.001334,0.000820,-0.000221,-0.000444,74,2024.05.07 04:30:00,1.07685,1.07670,1.07131,Positive,0.000016,0.000634,0.000714,0.001019,74,2024.05.07 16:50:00,1.07750,1.07715,1.07430,Positive,0.000385,0.000412,0.000130,0.000162
75,2024.05.02 01:00:00,1.06758,1.06682,1.07633,Positive,0.001219,0.000723,-0.000268,-0.000506,75,2024.05.07 04:15:00,1.07688,1.07671,1.07130,Positive,0.000052,0.000656,0.000724,0.001032,75,2024.05.07 16:45:00,1.07745,1.07711,1.07429,Positive,0.000392,0.000397,0.000121,0.000150
76,2024.05.02 00:00:00,1.06736,1.06667,1.07635,Positive,0.001117,0.000635,-0.000311,-0.000563,76,2024.05.07 04:00:00,1.07688,1.07670,1.07129,Positive,0.000085,0.000675,0.000732,0.001043,76,2024.05.07 16:40:00,1.07740,1.07706,1.07429,Positive,0.000402,0.000382,0.000112,0.000139
77,2024.05.01 23:00:00,1.06712,1.06651,1.07636,Positive,0.000978,0.000542,-0.000355,-0.000622,77,2024.05.07 03:45:00,1.07686,1.07667,1.07128,Positive,0.000073,0.000681,0.000736,0.001048,77,2024.05.07 16:35:00,1.07732,1.07701,1.07428,Positive,0.000375,0.000357,0.000100,0.000123
78,2024.05.01 22:00:00,1.06692,1.06633,1.07637,Positive,0.000986,0.000495,-0.000384,-0.000662,78,2024.05.07 03:30:00,1.07681,1.07664,1.07127,Positive,0.000028,0.000679,0.000738,0.001050,78,2024.05.07 16:30:00,1.07726,1.07696,1.07427,Positive,0.000361,0.000337,0.000090,0.000110
79,2024.05.01 21:00:00,1.06659,1.06617,1.07638,Positive,0.000588,0.000337,-0.000447,-0.000745,79,2024.05.07 03:15:00,1.07679,1.07662,1.07126,Positive,-0.000011,0.000681,0.000741,0.001054,79,2024.05.07 16:25:00,1.07720,1.07691,1.07426,Positive,0.000346,0.000316,0.000080,0.000096
80,2024.05.01 20:00:00,1.06652,1.06611,1.07639,Positive,0.000613,0.000314,-0.000468,-0.000773,80,2024.05.07 03:00:00,1.07678,1.07661,1.07125,Positive,-0.000034,0.000689,0.000746,0.001060,80,2024.05.07 16:20:00,1.07715,1.07688,1.07426,Positive,0.000338,0.000299,0.000071,0.000085
81,2024.05.01 19:00:00,1.06646,1.06605,1.07641,Positive,0.000671,0.000297,-0.000486,-0.000798,81,2024.05.07 02:45:00,1.07678,1.07660,1.07124,Positive,-0.000035,0.000705,0.000753,0.001070,81,2024.05.07 16:15:00,1.07710,1.07684,1.07425,Positive,0.000341,0.000284,0.000063,0.000074
82,2024.05.01 18:00:00,1.06635,1.06596,1.07642,Positive,0.000656,0.000257,-0.000511,-0.000832,82,2024.05.07 02:30:00,1.07679,1.07660,1.07123,Positive,-0.000030,0.000722,0.000761,0.001079,82,2024.05.07 16:10:00,1.07705,1.07680,1.07424,Positive,0.000334,0.000266,0.000054,0.000062
